769,769,769,769,801,769,769,769,769,769,769,769,769,769,769,769,769,769,769,769
769,769,769,801,769,769,769,769,769,769,769,769,769,769,769,769,769,769,769,769
769,769,801,801,769,769,769,769,769,769,801,801,801,801,769,769,769,769,769,769
769,801,769,801,801,769,769,801,801,801,769,801,801,769,769,769,769,769,769,769
801,769,769,801,801,769,801,801,801,769,801,801,769,769,769,769,769,769,769,769
769,769,769,769,801,801,769,769,801,801,801,769,769,769,801,801,769,801,769,769
769,801,801,769,801,769,801,801,769,801,769,769,801,801,801,769,769,769,769,769
801,769,769,769,801,801,801,769,801,769,769,769,801,801,769,769,769,801,769,769
769,769,801,801,769,801,801,801,769,769,801,801,769,769,801,769,801,769,769,769
801,801,801,801,801,801,801,801,801,801,769,801,801,801,801,801,801,801,801,769
769,801,801,801,769,801,801,769,801,801,769,769,769,801,801,801,769,769,769,769
769,769,769,769,769,769,801,801,801,769,801,801,801,801,769,769,801,769,769,769
769,769,769,769,769,801,801,801,801,801,801,801,769,769,769,769,769,769,769,769
769,769,769,769,769,801,769,769,769,801,801,769,769,769,769,769,769,769,769,769
769,769,769,769,769,801,769,769,769,769,769,769,769,769,769,769,769,769,769,769
